category,path,label,true_type,true_location,verdict,defect_type,location,valid,raw,latency_s,batch_size,mode
bottle,bottle/test/good/000.png,0,none,none,good,none,none,True,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",0.43052774587704334,8,zero_shot
bottle,bottle/test/good/001.png,0,none,none,good,none,none,True,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",0.43052774587704334,8,zero_shot
bottle,bottle/test/good/002.png,0,none,none,good,none,none,True,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",0.43052774587704334,8,zero_shot
bottle,bottle/test/good/003.png,0,none,none,good,none,none,True,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",0.43052774587704334,8,zero_shot
bottle,bottle/test/good/004.png,0,none,none,good,none,none,True,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",0.43052774587704334,8,zero_shot
bottle,bottle/test/good/005.png,0,none,none,good,none,none,True,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",0.43052774587704334,8,zero_shot
bottle,bottle/test/good/006.png,0,none,none,good,none,none,True,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",0.43052774587704334,8,zero_shot
bottle,bottle/test/good/007.png,0,none,none,good,none,none,True,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",0.43052774587704334,8,zero_shot
bottle,bottle/test/good/008.png,0,none,none,good,none,none,True,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",0.351326801624964,8,zero_shot
bottle,bottle/test/good/009.png,0,none,none,good,none,none,True,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",0.351326801624964,8,zero_shot
bottle,bottle/test/good/010.png,0,none,none,good,none,none,True,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",0.351326801624964,8,zero_shot
bottle,bottle/test/good/011.png,0,none,none,good,none,none,True,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",0.351326801624964,8,zero_shot
bottle,bottle/test/good/012.png,0,none,none,good,none,none,True,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",0.351326801624964,8,zero_shot
