category,variant,roc_auc,recall,false_positive_rate,n_good,n_defect,val_auc,review_at,train_seconds
bottle,A_simple_synthetic,0.9984375,0.71875,0.0,20,32,1.0,0.15000000596046448,5.8
cable,A_simple_synthetic,0.8635682158920539,0.3695652173913043,0.0,58,46,0.896,0.15000000596046448,6.0
capsule,A_simple_synthetic,0.7093397745571658,0.05555555555555555,0.043478260869565216,23,54,0.999,0.15000000596046448,5.4
carpet,A_simple_synthetic,0.9190476190476191,0.6,0.0,28,45,0.806,0.15000000596046448,6.5
grid,A_simple_synthetic,0.7795414462081128,0.3333333333333333,0.0,21,27,0.932,0.15000000596046448,6.5
hazelnut,A_simple_synthetic,0.9972222222222222,0.75,0.0,40,36,0.887,0.15000000596046448,8.3
leather,A_simple_synthetic,1.0,0.7111111111111111,0.0,32,45,0.882,0.15000000596046448,5.3
metal_nut,A_simple_synthetic,0.9100790513833993,0.32608695652173914,0.0,22,46,0.921,0.15000000596046448,5.6
pill,A_simple_synthetic,0.6655982905982906,0.05555555555555555,0.0,26,72,1.0,0.15000000596046448,6.5
screw,A_simple_synthetic,0.785035138486978,0.0,0.0,41,59,0.972,0.15000000596046448,7.1
tile,A_simple_synthetic,1.0,0.5,0.0,33,42,0.83,0.15000000596046448,5.1
toothbrush,A_simple_synthetic,0.7777777777777777,0.13333333333333333,0.0,12,15,0.827,0.15000000596046448,3.0
transistor,A_simple_synthetic,0.7333333333333334,0.15,0.0,60,20,0.922,0.15000000596046448,5.6
wood,A_simple_synthetic,0.9701754385964912,0.8,0.0,19,30,0.95,0.30508431792259216,5.1
zipper,A_simple_synthetic,0.8583333333333334,0.6833333333333333,0.09375,32,60,0.887,0.2528417408466339,5.8
bottle,B_realistic_synthetic,0.9968750000000001,0.96875,0.0,20,32,1.0,0.15000000596046448,6.2
cable,B_realistic_synthetic,0.8088455772113943,0.6304347826086957,0.10344827586206896,58,46,0.947,0.5,6.4
capsule,B_realistic_synthetic,0.7769726247987117,0.1111111111111111,0.0,23,54,1.0,0.2713671922683716,6.1
carpet,B_realistic_synthetic,0.9531746031746031,1.0,0.5,28,45,0.848,0.5,6.8
grid,B_realistic_synthetic,0.9453262786596119,0.7407407407407407,0.0,21,27,1.0,0.15000000596046448,6.7
hazelnut,B_realistic_synthetic,0.9576388888888889,0.7777777777777778,0.05,40,36,0.972,0.2392050325870514,10.1
leather,B_realistic_synthetic,1.0,1.0,0.03125,32,45,0.989,0.21429957449436188,6.1
metal_nut,B_realistic_synthetic,0.8913043478260869,0.5,0.045454545454545456,22,46,0.961,0.24346941709518433,6.1
pill,B_realistic_synthetic,0.8376068376068376,0.2638888888888889,0.038461538461538464,26,72,1.0,0.15000000596046448,7.2
screw,B_realistic_synthetic,0.6854071930549813,0.05084745762711865,0.0,41,59,0.987,0.2955790162086487,8.1
tile,B_realistic_synthetic,0.9696969696969697,0.9761904761904762,0.18181818181818182,33,42,0.861,0.5,5.7
toothbrush,B_realistic_synthetic,0.8333333333333334,0.6,0.0,12,15,0.938,0.4976690113544464,3.2
transistor,B_realistic_synthetic,0.7825,0.4,0.05,60,20,0.976,0.5,6.2
wood,B_realistic_synthetic,0.9824561403508772,0.7666666666666667,0.0,19,30,0.973,0.16279971599578857,5.8
zipper,B_realistic_synthetic,0.9848958333333333,0.9833333333333333,0.375,32,60,0.946,0.5,6.6
bottle,C_real_defects,0.9984375,1.0,0.05,20,32,1.0,0.15000000596046448,6.8
cable,C_real_defects,0.9430284857571215,0.8913043478260869,0.20689655172413793,58,46,0.938,0.5,6.8
capsule,C_real_defects,0.9887278582930756,0.8888888888888888,0.043478260869565216,23,54,0.987,0.2719084918498993,7.1
carpet,C_real_defects,0.9253968253968254,1.0,0.6071428571428571,28,45,0.846,0.4764818847179413,8.0
grid,C_real_defects,0.962962962962963,0.8148148148148148,0.047619047619047616,21,27,0.999,0.19091668725013733,6.5
hazelnut,C_real_defects,1.0,1.0,0.025,40,36,0.975,0.31972748041152954,9.4
leather,C_real_defects,1.0,1.0,0.5625,32,45,0.975,0.236250638961792,6.8
metal_nut,C_real_defects,0.9980237154150198,0.9782608695652174,0.0,22,46,0.951,0.15000000596046448,6.9
pill,C_real_defects,0.9497863247863247,0.7916666666666666,0.07692307692307693,26,72,1.0,0.2549709677696228,8.4
screw,C_real_defects,0.9917321207110377,0.8813559322033898,0.0,41,59,0.974,0.5,9.4
tile,C_real_defects,1.0,1.0,0.0,33,42,0.846,0.5,6.3
toothbrush,C_real_defects,0.9611111111111111,0.7333333333333333,0.0,12,15,0.975,0.29719120264053345,3.2
transistor,C_real_defects,0.9816666666666667,1.0,0.2,60,20,0.941,0.5,6.5
wood,C_real_defects,0.9719298245614035,0.9666666666666667,0.21052631578947367,19,30,0.974,0.37328165769577026,6.5
zipper,C_real_defects,0.9937499999999999,0.9833333333333333,0.0,32,60,0.918,0.39342814683914185,7.9
