precision,batch_size,ms_per_batch,ms_per_image,images_per_s,p95_ms_per_batch,peak_mem_mb,status
fp32,1,1.334,1.334,749.6,1.678,6240.8,ok
fp32,8,1.661,0.2076,4816.9,1.834,6243.3,ok
fp32,16,2.489,0.1556,6428.6,2.709,6261.8,ok
fp32,32,4.558,0.1424,7020.3,5.081,6295.8,ok
fp32,64,15.721,0.2456,4070.9,16.636,6375.8,ok
fp32,128,19.313,0.1509,6627.6,20.11,6481.8,ok
fp32,256,39.223,0.1532,6526.8,41.041,6737.8,ok
bf16,1,1.125,1.1253,888.7,1.49,6235.5,ok
bf16,8,1.388,0.1735,5764.4,1.53,6235.9,ok
bf16,16,1.804,0.1127,8871.1,2.094,6243.8,ok
bf16,32,2.821,0.0882,11342.1,3.33,6261.8,ok
bf16,64,4.894,0.0765,13075.9,5.242,6297.8,ok
bf16,128,9.843,0.0769,13003.9,10.678,6369.8,ok
bf16,256,20.558,0.0803,12452.4,21.288,6513.8,ok
