image,true_label,vision_prob,decision,severity,escape,false_reject,schema_valid,llm_text_valid,action_json_valid_rate,guardrail_overrides,tool_calls,llm_calls,llm_seconds,total_seconds,error
contamination/005.png,1,0.9919,reject,high,False,False,True,True,1.0,2,5,6,9.521765301935375,9.585088321007788,
good/007.png,0,0.2123,accept,low,False,False,True,True,1.0,3,5,6,8.90701835899381,8.973316799965687,
contamination/015.png,1,0.9942,reject,high,False,False,True,True,1.0,2,5,6,9.562238462036476,9.620664182992186,
broken_large/001.png,1,0.99,reject,high,False,False,True,True,1.0,2,5,6,8.577208189060912,8.637090963020455,
broken_large/002.png,1,0.997,reject,high,False,False,True,True,1.0,2,5,6,9.089291864016559,9.151628421037458,
broken_large/013.png,1,0.9997,reject,high,False,False,True,True,1.0,2,5,6,9.358348656038288,9.419346443959512,
good/000.png,0,0.4099,accept,low,False,False,True,True,1.0,3,5,6,8.704060726973694,8.758682708954439,
broken_large/014.png,1,0.9901,reject,high,False,False,True,True,1.0,2,5,6,9.390418227063492,9.444835389964283,
good/016.png,0,0.2402,accept,low,False,False,True,True,1.0,3,5,6,8.60545141698094,8.668476830003783,
good/002.png,0,0.3947,accept,low,False,False,True,True,1.0,3,5,6,8.564026322157588,8.620724300970323,
broken_small/015.png,1,0.9155,reject,high,False,False,True,True,1.0,2,5,6,8.386754348000977,8.44430742302211,
broken_small/014.png,1,0.916,reject,high,False,False,True,True,1.0,2,5,6,9.365902977006044,9.426039979967754,
good/008.png,0,0.13,accept,low,False,False,True,True,1.0,3,5,6,8.821371096011717,8.880770023970399,
broken_small/018.png,1,0.9964,reject,high,False,False,True,True,1.0,2,5,6,9.363719087094069,9.424454488034826,
broken_large/005.png,1,0.9932,reject,high,False,False,True,True,1.0,2,5,6,9.617999297042843,9.672297283017542,
good/003.png,0,0.1602,accept,low,False,False,True,True,1.0,3,5,6,9.25732239492936,9.32376529002795,
contamination/001.png,1,0.9176,reject,high,False,False,True,True,1.0,2,5,6,8.676130916923285,8.73352111998247,
broken_small/007.png,1,0.9253,reject,high,False,False,True,True,1.0,2,5,6,9.293652129068505,9.35203744500177,
good/001.png,0,0.1681,accept,low,False,False,True,True,1.0,3,5,6,8.780248617054895,8.836033469007816,
broken_small/017.png,1,0.9752,reject,high,False,False,True,True,1.0,2,5,6,9.217223585117608,9.281333272985648,
contamination/016.png,1,0.5248,manual_review,medium,False,False,True,True,1.0,3,5,6,11.244708852958865,11.300379619991872,
broken_small/012.png,1,0.9994,reject,high,False,False,True,True,1.0,2,5,6,9.503384462033864,9.56652352400124,
contamination/012.png,1,0.667,manual_review,medium,False,False,True,True,1.0,2,5,6,10.015626393025741,10.070671866997145,
good/011.png,0,0.2098,accept,low,False,False,True,True,1.0,3,5,6,8.99803241394693,9.05931685998803,
